Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0011899999808520079 3.4641016e-05
GALEX:NUV 0.23119646641474514 0.0013300000379482906 3.4641016e-05
SDSS:g' 0.48199694202385923 0.0025599999353289604 0.00015
SDSS:r' 0.6246977662012919 0.003229999914765358 0.00011
SDSS:i' 0.7634912086792645 0.004720000084489584 0.0001
2MASS:J 1.239016606050587 0.005850714431809527 0.00062936475
2MASS:H 1.6494770729023382 0.006253571582159826 0.00087080424
2MASS:Ks 2.163785333814508 0.00963615382520052 0.0007756288
WISE:W1 3.350010705106716 0.012358333527420958 0.0009591664
WISE:W2 4.600019302768061 0.01687499958400925 0.0009591664
WISE:W3 11.559823320737253 0.02628999948501587 0.002529822
WISE:W4 22.090668189521775 0.04758999943733215 0.01193189
Spitzer/MIPS:24 23.674678828081813 0.04499999930461248 0.00050990196
Herschel/PACS:70 69.99917297095358 0.02969999983906746 0.0023
Herschel/PACS:100 100.00081990726842 0.027400000020861626 0.0026
:=1.4GHz 214137.47000000003 0.008066666622956594 0.001224745
"W1 (WISE)" 3.3533831991051453 0.012466666666666668 0.00028299558300439956
"W2 (WISE)" 4.60510688172043 0.01686666666666667 0.00035753522903344783
"W3 (WISE)" 11.574998378378377 0.026766666666666664 0.001970526833108344
"W4 (WISE)" 22.0435630882353 0.0405 0.006853247405427591
"24 microns (MIPS)" 23.60570535433071 0.044700000000000004 0.00016917742166140255
1.4GHz 214137.47 0.0074 0.0005
