Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 4.232499941281276e-05 1.1774124e-05
GALEX:NUV 0.23119646641474512 8.517500100424513e-05 9.68504e-06
SDSS:u' 0.3519021246126397 0.0004299999854993075 4e-06
SDSS:g' 0.48199694202385923 0.0013099999632686377 8e-05
SDSS:r' 0.6246977662012919 0.0022799998987466097 0.00012
SDSS:i' 0.7634912086792645 0.002940000034868717 0.0002
SDSS:z' 0.9017941824088558 0.004290000069886446 4e-05
SDSS:u 0.3519021246126397 0.0004377777804620564 1.5e-05
SDSS:g 0.4819969420238593 0.0005069999897386879 4.8270074e-05
SDSS:r 0.6246977662012919 0.002172799989784835 3.0066592e-05
SDSS:i 0.7634912086792643 0.0032233333525558314 4.8989794e-05
SDSS:z 0.9017941824088559 0.004135555561838878 7.874008e-05
2MASS:J 1.239016606050587 0.00423909088766033 0.0007609205
2MASS:H 1.6494770729023385 0.007232727228917859 0.0012182775
2MASS:Ks 2.163785333814508 0.012349999696016311 0.0012083047
WISE:W1 3.3500107051067167 0.02957499958574772 0.0016370707
WISE:W2 4.600019302768061 0.048599999863654375 0.002343075
WISE:W3 11.559823320737255 0.11699999868869781 0.0052915034
WISE:W4 22.09066818952177 0.3436666627724965 0.017146429
:=1.4GHz 214137.47 0.002424999955110252 0.00051923026
"W1 (WISE)" 3.3533831991051453 0.02996666666666667 0.000656598050560615
"W2 (WISE)" 4.60510688172043 0.04903333333333334 0.0009486311190341586
"W3 (WISE)" 11.574998378378377 0.12233333333333334 0.0020029171225989357
"W4 (WISE)" 22.0435630882353 0.31733333333333336 0.008157628331813114
"12 microns (IRAS)" 11.99169832 0.193 0.0271
"25 microns (IRAS)" 24.982704833333333 0.401 0.0213
"60 microns (IRAS)" 59.958491599999995 0.422 0.0422
1.4GHz 214137.47 0.00232 0.000144
