Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 4.6800000745861325e-06 2.4e-06
GALEX:NUV 0.23119646641474512 2.1899999410379678e-05 4.2e-06
SDSS:u 0.3519021246126397 1.1293999887129757e-05 3.4785053e-06
SDSS:g 0.4819969420238593 0.00010048888846843813 3.8987178e-06
SDSS:r 0.6246977662012919 0.0005089999823313621 6.403124e-06
SDSS:i 0.7634912086792643 0.0013500000350177288 1e-05
SDSS:z 0.901794182408856 0.0017322222314154108 5.7445628e-05
2MASS:J 1.239016606050587 0.0036892307062561694 0.00034985712
2MASS:H 1.6494770729023385 0.007196153872288191 0.00077955116
2MASS:Ks 2.163785333814508 0.015454545193775133 0.0009949874
WISE:W1 3.3500107051067163 0.033286665876706444 0.002649528
WISE:W2 4.600019302768061 0.04936666737000148 0.0033911648
WISE:W3 11.559823320737253 0.10100000138793673 0.0044721365
WISE:W4 22.09066818952177 0.3027692207923302 0.021633308
IRAS:12 11.59021333024047 0.16699999570846558 0.027
IRAS:25 23.880234028994742 0.3479999899864197 0.045
IRAS:60 61.84986032885642 1.590000033378601 0.17
IRAS:100 101.94941780588996 1.5199999809265137 0.17
:=1.4GHz 214137.47000000003 0.1109999989469846 0.003316625
"W1 (WISE)" 3.3524464998875185 0.03325 0.001018989205045863
"W2 (WISE)" 4.60334111987928 0.04915 0.0013509752033253608
"W3 (WISE)" 11.574998378378378 0.10594999999999999 0.002420206602751096
"W4 (WISE)" 22.043563088235295 0.28450000000000003 0.009546475789525683
"3.6 microns (IRAC)" 3.5520433412322276 0.03425 0.00012882398844935673
"5.8 microns (IRAC)" 5.732169369024856 0.0621 0.00040230461096040144
"12 microns (IRAS)" 11.99169832 0.167 0.0268
"25 microns (IRAS)" 24.982704833333333 0.348 0.0217
"60 microns (IRAS)" 59.958491599999995 1.59 0.175
"100 microns (IRAS)" 99.93081933333333 1.52 0.168
1.4GHz 214137.47 0.1075 0.006217949822891786
