Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0005793333208809296 3.753665e-05
GALEX:NUV 0.23119646641474512 0.0009323333312446872 2.803569e-05
SDSS:g' 0.48199694202385923 0.00570000009611249 0.00068
SDSS:r' 0.6246977662012919 0.010499999858438969 0.0014
SDSS:i' 0.7634912086792645 0.01489999983459711 0.0017
SDSS:u 0.3519021246126397 0.0003910000086762011 1.7e-05
SDSS:g 0.48199694202385923 0.005710000172257423 0.00069
SDSS:r 0.6246977662012919 0.010499999858438969 0.0014
SDSS:i 0.7634912086792645 0.011605000123381615 0.0018000278
SDSS:z 0.9017941824088558 0.004449999891221523 1e-05
2MASS:J 1.239016606050587 0.02980000029007594 0.0026457512
2MASS:H 1.6494770729023385 0.030770770041272044 0.0036406182
2MASS:Ks 2.1637853338145083 0.02968333304549257 0.003204684
WISE:W1 3.350010705106717 0.019363636320287533 0.0012328828
WISE:W2 4.600019302768061 0.017954545942219822 0.00091104343
WISE:W3 11.559823320737253 0.10599999792046017 0.0030000003
WISE:W4 22.09066818952177 0.3621000051498413 0.021095023
IRAS:12 11.59021333024047 0.16099999845027924 0.018
IRAS:25 23.880234028994746 0.40800000727176666 0.038418747
IRAS:60 61.84986032885642 1.1566666563351948 0.1360147
IRAS:100 101.94941780588998 2.5449999570846558 0.31400636
Spitzer/MIPS:24 23.674678828081813 0.335999995470047 0.001
Herschel/PACS:70 69.99917297095358 1.7799999713897705 0.14142136
Herschel/PACS:160 160.0002444361424 2.7799999713897705 0.15
Herschel/SPIRE:250 249.99371080720482 1.0499999523162842 0.07
Herschel/SPIRE:350 362.9976001356129 0.40299999713897705 0.036
Herschel/SPIRE:500 516.9994274578785 0.14900000393390656 0.026
:=250um 249.99371080720482 1.0499999523162842 0.07
:=350um 349.99995096608495 0.40299999713897705 0.036
:=500um 499.99576043629816 0.14900000393390656 0.026
:=1.4GHz 214137.47000000003 0.0378666656712691 0.0017916473
"FUV (GALEX)" 0.15373972205128206 9.605e-05 3.6673915798561787e-06
"NUV (GALEX)" 0.23239725426356592 0.000254 5.323016062346609e-06
"W1 (WISE)" 3.3533831991051453 0.02266666666666667 0.0004282779471324668
"W2 (WISE)" 4.60510688172043 0.01976666666666667 0.00035823998939258587
"W3 (WISE)" 11.574998378378377 0.11366666666666668 0.0018114715012939066
"W4 (WISE)" 22.0435630882353 0.3446666666666667 0.00790809711624737
"12 microns (IRAS)" 11.99169832 0.161 0.0177
"25 microns (IRAS)" 24.982704833333333 0.393 0.00965
"60 microns (IRAS)" 59.958491599999995 1.39 0.0558
"100 microns (IRAS)" 99.93081933333333 2.33 0.187
1.4GHz 214137.47 0.0351 0.0014
