Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.0031449999660253525 0.0005212485
2MASS:H 1.6494770729023387 0.0038025000249035656 0.0007998125
2MASS:Ks 2.1637853338145083 0.0033837500086519867 0.0008161495
WISE:W1 3.3500107051067163 0.004872500023338944 0.0003108054
WISE:W2 4.600019302768061 0.006342222241477834 0.00033391616
WISE:W3 11.559823320737255 0.02410000003874302 0.0011
WISE:W4 22.09066818952177 0.0698499996215105 0.00534322
Spitzer/MIPS:24 23.674678828081813 0.05909999832510948 0.0002
:=1.4GHz 214137.47000000006 10.5 0.3
"W1 (WISE)" 3.364789264408224 0.0112025 0.00021659418274736744
"W2 (WISE)" 4.60334111987928 0.0099425 0.00021514713570019935
"W3 (WISE)" 11.679173363783782 0.02575 0.0006630294111123579
"W4 (WISE)" 22.043563088235295 0.06649999999999999 0.0031084883786174915
"3.6 microns (IRAC)" 3.5520433412322276 0.00331 3.2951479481200837e-06
"4.5 microns (IRAC)" 4.494639550224888 0.00441 4.207433897282286e-06
"5.8 microns (IRAC)" 5.732169369024856 0.006775 1.1476933388322858e-05
"8.0 microns (IRAC)" 7.86856845144357 0.01205 1.09406581154883e-05
"24 microns (MIPS)" 23.60570535433071 0.055749999999999994 4.654460226492434e-05
