Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.09566666682561238 0.0064226165
GALEX:NUV 0.23119646641474512 0.13899999856948853 0.004
2MASS:J 1.239016606050587 2.4492231210550437 0.3608557
2MASS:H 1.6494770729023387 3.7223544771021064 0.42543593
2MASS:Ks 2.1637853338145074 1.9648999556899072 0.30292577
WISE:W1 3.3500107051067167 3.480363737453114 0.3324891
WISE:W2 4.600019302768061 2.548545468937267 0.21362585
WISE:W3 11.559823320737253 4.26100001335144 0.21931714
WISE:W4 22.09066818952177 8.39200005531311 0.33600596
IRAS:12 11.59021333024047 18.15000009536743 3.5902646
IRAS:25 23.880234028994742 24.0 4.707441
IRAS:60 61.84986032885641 190.0 34.48188
IRAS:100 101.94941780588996 407.5 76.687675
Spitzer/MIPS:24 23.674678828081813 24.0 1.0
Spitzer/MIPS:70 71.41996807699637 263.0 26.0
Spitzer/MIPS:160 155.8983140925637 583.0 73.0
Herschel/PACS:70 69.99917297095358 401.0 20.0
Herschel/PACS:160 160.0002444361424 733.0 37.0
:=250um 249.99371080720482 301.0 21.0
:=350um 349.99995096608495 124.0 9.0
:=500um 499.99576043629816 48.099998474121094 3.6
:=1.4GHz 214137.47 4.519999980926514 0.23
"FUV (GALEX)" 0.15373972205128206 0.009875 0.000628928938752225
"NUV (GALEX)" 0.23239725426356592 0.0505 0.006137113653827831
"W1 (WISE)" 3.349636402234637 1.6 0.0502
"W2 (WISE)" 4.5980438343558285 1.44 0.0304
"W3 (WISE)" 11.574998378378378 2.8 0.0336
"W4 (WISE)" 22.043563088235295 6.48 0.0955
"4.5 microns (IRAC)" 4.494639550224888 0.23249999999999998 1.7167483799322488e-06
"5.8 microns (IRAC)" 5.732169369024856 0.17175 5.3440059880205966e-06
"8.0 microns (IRAC)" 7.86856845144357 0.4535 8.014143747151033e-06
"12 microns (IRAS)" 11.99169832 16.919999999999998 3.919353645692106
"25 microns (IRAS)" 24.982704833333333 22.520000000000003 5.235707784053652
"60 microns (IRAS)" 59.958491599999995 185.0 42.39739738474521
"100 microns (IRAS)" 99.93081933333333 398.6 97.91024824807667
"24 microns (MIPS)" 23.60570535433071 3.92 0.0002837210601982165
