Filter Wave Flux F_er
GALEX:NUV 0.23119646641474514 8.960000013757963e-05 7.70065e-06
2MASS:J 1.239016606050587 0.00039392307875319745 0.0001478276
2MASS:H 1.649477072902339 0.0003378461450875665 0.00025157307
2MASS:Ks 2.1637853338145083 0.0004498181806411594 0.00024785884
WISE:W1 3.3500107051067163 0.0006825555529859331 6.69328e-05
WISE:W2 4.600019302768061 0.0011288888830070694 0.0001174734
WISE:W3 11.559823320737255 0.002041333339487513 0.00047507894
WISE:W4 22.09066818952177 0.004540714135925684 0.0030927008
Spitzer/MIPS:24 23.674678828081813 0.00392500008456409 8.6023254e-05
:=1.4GHz 214137.47000000003 2.609999895095825 0.09
"W1 (WISE)" 3.364789264408224 0.0008604999999999999 3.825767896775757e-05
"W2 (WISE)" 4.60334111987928 0.00124 5.103479205404878e-05
"W3 (WISE)" 11.679173363783782 0.00238 0.00030307589808495166
"W4 (WISE)" 22.043563088235295 0.0048874999999999995 0.002521582836236002
"3.6 microns (IRAC)" 3.5520433412322276 0.0007223333333333334 1.2031566814010552e-05
"4.5 microns (IRAC)" 4.494639550224888 0.0010153333333333334 1.342635095623528e-05
"5.8 microns (IRAC)" 5.732169369024856 0.0014333333333333333 3.962044926549925e-05
"8.0 microns (IRAC)" 7.868568451443569 0.0019166666666666666 3.836925852814985e-05
"24 microns (MIPS)" 23.60570535433071 0.00414 0.0005148470258241763
"70 microns (MIPS)" 71.37915666666667 0.0155 0.006280127387243033
"160 microns (MIPS)" 156.14190520833333 0.062 0.01
