Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.8000000384054147e-05 1.0230836e-05
GALEX:NUV 0.23119646641474512 3.559999944021305e-05 7.1056315e-06
WISE:W1 3.350010705106716 0.00012366666730182865 1.1489125e-05
WISE:W2 4.600019302768061 0.00011933333371416666 1.8384777e-05
WISE:W3 11.559823320737255 0.000552500001504086 0.000198736
WISE:W4 22.09066818952177 0.0035849999403581023 0.0018400544
Spitzer/MIPS:24 23.674678828081813 0.002515000058338046 6.708204e-05
"W1 (WISE)" 3.3533831991051453 0.00022533333333333333 2.2369023224092732e-05
"W2 (WISE)" 4.60510688172043 0.00020333333333333336 3.145235126345883e-05
"W3 (WISE)" 11.574998378378377 0.000625 0.0002643198819612327
"W4 (WISE)" 22.0435630882353 0.0039033333333333333 0.0021157920502733723
"3.6 microns (IRAC)" 3.5520433412322276 0.0001235 1.9345800577903204e-05
"4.5 microns (IRAC)" 4.494639550224888 0.000134 2.361715478206467e-05
"5.8 microns (IRAC)" 5.732169369024856 0.000298 7.278351461697903e-05
"8.0 microns (IRAC)" 7.86856845144357 0.00039099999999999996 4.666829759054856e-05
"24 microns (MIPS)" 23.60570535433071 0.002255 7.496272407003363e-05
