Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 4.3333332238641255e-05 7.99187e-06
GALEX:NUV 0.23119646641474512 6.386666548981641e-05 7.107039e-06
SDSS:u' 0.3519021246126397 0.00017299999308306724 3e-06
SDSS:z' 0.9017941824088558 0.0013200000394135714 1e-05
SDSS:g 0.4819969420238591 0.000375333498936925 9.730879e-06
SDSS:r 0.6246977662012919 0.0008194399939384312 1.47119e-05
SDSS:i 0.7634912086792646 0.000335742500624292 5.090187e-05
SDSS:z 0.901794182408856 0.0011635819567664561 4.1173415e-05
2MASS:J 1.239016606050587 0.0012919999891892076 0.0003193744
2MASS:H 1.649477072902339 0.001584000000730157 0.00036000003
2MASS:Ks 2.163785333814508 0.0016911110788997677 0.00047370876
WISE:W1 3.3500107051067167 0.0013422000061837024 0.00011026332
WISE:W2 4.600019302768061 0.002559299969288986 0.00016201544
WISE:W3 11.559823320737255 0.02147142935012068 0.0009899494
WISE:W4 22.090668189521775 0.10300000011920929 0.00489898
:=1.4GHz 214137.47 0.006713333229223887 0.0011255667
"W1 (WISE)" 3.3533831991051453 0.0017933333333333332 4.849113321010348e-05
"W2 (WISE)" 4.60510688172043 0.00294 7.44352067237003e-05
"W3 (WISE)" 11.574998378378377 0.0226 0.0005014987537372351
"W4 (WISE)" 22.0435630882353 0.09673333333333332 0.0030465882557378834
1.4GHz 214137.47 0.0065 0.0005
