Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.05284428721227284 0.0065911757
GALEX:NUV 0.23119646641474512 0.07478333241306245 0.005249762
SDSS:g' 0.48199694202385923 0.1770000010728836 0.004
SDSS:r' 0.6246977662012919 0.3440000116825104 0.003
SDSS:u 0.3519021246126397 0.9180000225702921 0.025
SDSS:g 0.48199694202385923 1.4600000381469727 0.04
SDSS:r 0.6246977662012919 3.0299999713897705 0.08544003
SDSS:i 0.7634912086792643 2.130600002594292 0.11707011
SDSS:z 0.9017941824088558 5.164999961853027 0.13928388
2MASS:J 1.2390166060505867 2.2790769097896724 0.53754795
2MASS:H 1.6494770729023385 2.036042831128552 0.46218386
2MASS:Ks 2.163785333814508 1.4602666556835175 0.3550141
:=3.6um 3.599986286565157 3.369999885559082 0.1
:=4.5um 4.499969349004068 2.180000066757202 0.07
:=5.8um 5.800039815817985 2.950000047683716 0.09
:=8um 8.00001222180712 4.639999866485596 0.14
WISE:W1 3.3500107051067167 1.8103000104427338 0.21327446
WISE:W2 4.600019302768061 0.8196999788284302 0.07736924
WISE:W3 11.559823320737253 1.4753332999017503 0.23407477
WISE:W4 22.090668189521775 2.337777773539225 0.35071355
IRAS:12 11.590213330240472 4.272499978542328 1.2844454
IRAS:25 23.880234028994746 5.992499947547913 1.754537
IRAS:60 61.849860328856415 60.82500076293945 18.320478
IRAS:100 101.94941780588996 127.5 36.345562
Spitzer/MIPS:24 23.674678828081817 1.3140000353256862 0.62965465
Spitzer/MIPS:70 71.41996807699637 101.0 12.0
Spitzer/MIPS:160 155.8983140925637 164.0 26.0
:=250um 249.99371080720482 64.5 3.8
:=500um 499.99576043629816 9.520000457763672 0.62
:=1.4GHz 214137.47000000003 0.1814516605809331 0.01440068
"2-10 keV (XMM)" 0.00020675341931034483 1.08e-07 1.02e-07
"0.5-2 keV (XMM)" 0.0009926902582781457 3.64e-07 2.69e-07
"FUV (GALEX)" 0.15347825993894995 0.027926666666666666 0.009300626800920461
"NUV (GALEX)" 0.23063666900399346 0.043233333333333325 0.01270595844476126
"W1 (WISE)" 3.349636402234637 3.84 0.0389
"W2 (WISE)" 4.5980438343558285 2.18 0.0381
"W3 (WISE)" 11.574998378378378 5.06 0.0699
"W4 (WISE)" 22.043563088235295 6.52 0.12
"3.6 microns (IRAC)" 3.5520433412322276 3.2816666666666667 0.814111957902597
"4.5 microns (IRAC)" 4.494639550224888 2.0536000000000003 0.4229298878064779
"5.8 microns (IRAC)" 5.732169369024856 2.7046 0.5948340041557812
"8.0 microns (IRAC)" 7.86856845144357 5.04 0.9923707422128083
"12 microns (IRAS)" 11.99169832 4.4875 0.7942959146313167
"25 microns (IRAS)" 24.982704833333333 5.637499999999999 1.0590056657072235
"60 microns (IRAS)" 59.958491599999995 67.7 9.36081860736549
"100 microns (IRAS)" 99.93081933333333 126.0 20.302200127079825
"24 microns (MIPS)" 23.60570535433071 5.5675 0.6011183327765008
"70 microns (MIPS)" 71.37915666666667 82.26666666666667 15.808607813466688
"160 microns (MIPS)" 156.14190520833333 175.0 40.26086537818083
"70 microns (PACS)" 70.0449668224299 103.0 5.0
"100 microns (PACS)" 99.93081933333333 159.0 8.0
"160 microns (PACS)" 160.31682245989305 145.0 7.0
"250 microns (SPIRE)" 249.82704833333332 70.4 5.0
"350 microns (SPIRE)" 349.81617036172696 28.0 2.0
"500 microns (SPIRE)" 499.65409666666665 11.8 0.9
1.4GHz 214137.47 0.00889 0.000445
